"year","month","commodity_name","data_type","commodity_value","global_avg_anomaly","global_avg_unc_temp","global_avg_abs_temp","climate_volatility"
1990,1,PBARL,USD,75.5686718942764,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PCOCO,USD,995.0,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PCOFFROB,USD,50.5200004577637,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PROIL,USD,440.95,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PCOTTIND,USD,75.2000122070313,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PGNUTS,USD,864.35,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PHIDE,USD,92.7000122070313,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PMAIZMT,USD,105.900512695313,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,POLVOIL,USD,2972.682,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PPOIL,USD,230.555950628755,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PPORK,USD,93.147106031746,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PRUBB,USD,37.7299995422363,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PSOIL,USD,418.657338,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PSOYB,USD,209.8274827,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PSUGAISA,USD,14.2000007629395,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PSUNO,USD,588.036231884057,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PTEA,USD,252.929992675781,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PWHEAMT,USD,167.918579101563,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,POATS,USD,1.4320652173913,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PSORG,USD,4.61999988555908,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PWOOLC,USD,501.128824306966,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PTOMATO,USD,0.0,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,1,PAPPLE,USD,0.0,0.6824039735099343,0.3236026490066226,14.03896026490066,1.3719230988108526
1990,2,PBARL,USD,73.8647012912272,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PCOCO,USD,1022.0,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PCOFFROB,USD,51.2999992370605,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PROIL,USD,422.29,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PCOTTIND,USD,75.9599914550781,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PGNUTS,USD,823.75,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PHIDE,USD,92.6799926757813,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PMAIZMT,USD,106.294166564941,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,POLVOIL,USD,3052.71,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PPOIL,USD,223.945027313236,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PPORK,USD,80.0039949206349,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PRUBB,USD,38.6800003051758,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PSOIL,USD,438.71938,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PSOYB,USD,208.449456325,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PSUGAISA,USD,14.6500015258789,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PSUNO,USD,608.475,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PTEA,USD,211.289993286133,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PWHEAMT,USD,160.937271118164,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,POATS,USD,1.375875,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PSORG,USD,4.57000017166138,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PWOOLC,USD,494.864714003129,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PTOMATO,USD,0.0,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,2,PAPPLE,USD,0.0,1.2966821192052977,0.3081589403973509,15.753437086092712,2.377142753730091
1990,3,PBARL,USD,70.0445793762433,1.03176821192053,0.3154900662251656,17.65382119205298,1.8174654199138924
